tFinal Re nx nSteps uErr pErr Runtime
1 1 24 24 3.95777e-05 0.00132228 81.3056
1 1 36 36 1.20809e-05 0.00216624 322.675
1 1 48 48 5.24922e-06 0.00442723 849.628
1 1 60 60 3.23727e-06 0.0142519 1998.29
1 1 72 72 2.33053e-06 0.019729 3849.07
1 20 24 24 6.37736e-05 6.8119e-05 65.1414
1 20 36 36 2.82643e-05 0.000129364 213.57
1 20 48 48 1.61535e-05 0.000335134 532.093
1 20 60 60 1.04473e-05 0.000599357 1095.35
1 20 72 72 7.30426e-06 0.00105471 1984.05
1 40 24 24 9.42849e-05 4.60508e-05 63.2143
1 40 36 36 4.36844e-05 0.000350801 203.209
1 40 48 48 2.52964e-05 0.000503252 494.228
1 40 60 60 1.64457e-05 0.000259478 1031.05
1 40 72 72 1.1527e-05 0.000534834 1849.21
1 60 24 24 0.000125443 4.07745e-05 61.7663
1 60 36 36 5.64786e-05 0.000489967 198.023
1 60 48 48 3.22623e-05 0.000731704 479.911
1 60 60 60 2.08331e-05 0.000869967 985.867
1 60 72 72 1.45459e-05 0.000460564 1793.04
1 80 24 24 0.000156901 3.88559e-05 62.1908
1 80 36 36 6.76117e-05 0.000183379 196.324
1 80 48 48 3.78471e-05 0.000817153 471.192
1 80 60 60 2.42015e-05 0.00100539 965.949
1 80 72 72 1.68071e-05 0.00043422 1778.68
1 100 24 24 0.000188406 3.81601e-05 60.1001
1 100 36 36 7.77581e-05 0.000110408 191.858
1 100 48 48 4.25702e-05 0.000572826 457.947
1 100 60 60 2.69211e-05 0.00114449 951.926
1 100 72 72 1.85823e-05 0.00112555 1705.61
