tFinal Re nx nSteps uErr pErr Runtime
1 10 24 24 4.9018e-05 0.000123237 68.7062
1 10 36 36 1.90714e-05 0.000273046 227.175
1 10 48 48 1.02546e-05 0.000945505 579.522
1 10 60 60 6.4452e-06 0.0024993 1231.63
1 10 72 72 4.46075e-06 0.00522232 2261.23
1 25 24 24 7.13376e-05 5.84571e-05 65.4305
1 25 36 36 3.24432e-05 0.000237789 212.422
1 25 48 48 1.87124e-05 0.000250277 520.245
1 25 60 60 1.21498e-05 0.000406995 1075.71
1 25 72 72 8.51172e-06 0.000818005 1956.22
1 50 24 24 0.000109806 4.27047e-05 62.4911
1 50 36 36 5.03409e-05 0.00036432 201.227
1 50 48 48 2.89925e-05 0.000586054 488.875
1 50 60 60 1.87963e-05 0.000186079 1033.09
1 50 72 72 1.31538e-05 0.00118277 1840.72
1 75 24 24 0.000149023 3.91802e-05 63.5609
1 75 36 36 6.49426e-05 0.000219401 209.125
1 75 48 48 3.65483e-05 0.000800016 488.406
1 75 60 60 2.34328e-05 0.000158725 1020.9
1 75 72 72 1.62955e-05 0.000376481 1798.03
