
tFinal Re nx nt uErr pErr runtime
1 1 8 8 0.000909219 0.00809848 4.547
1 1 16 16 0.000128133 0.00258025 22.5298
1 1 32 32 1.70554e-05 0.00162624 211.296
1 1 64 64 2.72723e-06 0.0145451 2562.78
1 1 128 128 2.33538e-06 0.0847668 30695
1 2 8 8 0.000953931 0.00431038 4.68752
1 2 16 16 0.000130315 0.00129426 23.7674
1 2 32 32 1.75267e-05 0.000902229 190.915
1 2 64 64 2.53198e-06 0.00243506 2123.17
1 2 128 128 3.61585e-06 0.130219 24562.2
1 4 8 8 0.00106578 0.00245657 5.86747
1 4 16 16 0.000133072 0.000650898 22.6093
1 4 32 32 1.88478e-05 0.000335056 172.95
1 4 64 64 3.20236e-06 0.00279103 1831.06
1 4 128 128 1.81661e-06 0.0582309 20224
1 8 8 8 0.00140626 0.00162063 6.23322
1 8 16 16 0.000139922 0.000331227 21.6071
1 8 32 32 2.26662e-05 0.000344544 157.507
1 8 64 64 4.82515e-06 0.00289754 1568.93
1 8 128 128 1.71907e-06 0.0430964 16909.5
1 16 8 8 0.00199002 0.00121611 6.6074
1 16 16 16 0.000160616 0.000180514 21.9353
1 16 32 32 3.1383e-05 0.000130478 151.34
1 16 64 64 7.88012e-06 0.000709436 1409.62
1 16 128 128 2.03346e-06 0.00433539 14423.6
1 32 8 8 0.0024605 0.000918129 6.6044
1 32 16 16 0.000212146 0.000128995 24.5544
1 32 32 32 4.72923e-05 2.76379e-05 143.385
1 32 64 64 1.26061e-05 0.00043099 1294.42
1 32 128 128 3.24127e-06 0.00288982 12586.1
1 64 8 8 0.00268607 0.000976335 7.029
1 64 16 16 0.000333415 0.00012501 25.5662
1 64 32 32 7.40976e-05 1.97513e-05 138.815
1 64 64 64 1.89941e-05 0.000312087 1207.58
1 64 128 128 4.85995e-06 0.0220254 11768.5
1 128 8 8 0.00330847 0.00140587 8.96338
1 128 16 16 0.000587329 0.000127812 28.0512
1 128 32 32 0.000118983 1.6576e-05 133.47
1 128 64 64 2.62699e-05 0.000832333 1144.06
1 128 128 128 6.38974e-06 0.0182917 11620.6
