tFinal Re nx nt uErr pErr runtime
1 1 8 8 0.000909219 0.00809848 4.67509
1 1 16 16 0.000128133 0.00258025 23.0355
1 1 25 25 3.51259e-05 0.00114564 97.3956
1 1 32 32 1.70554e-05 0.00162624 217.544
1 1 50 50 4.80959e-06 0.00795132 998.783
1 1 64 64 2.72723e-06 0.0145451 2515.92
1 1 100 100 1.92147e-06 0.0407255 12266.4
1 2 8 8 0.000953931 0.00431038 4.77417
1 2 16 16 0.000130315 0.00129426 23.5571
1 2 25 25 3.5818e-05 0.000822628 92.3868
1 2 32 32 1.75267e-05 0.000902229 190.908
1 2 50 50 4.91635e-06 0.00169864 893.834
1 2 64 64 2.53198e-06 0.00243506 2138.44
1 2 100 100 1.12164e-06 0.00871804 10086.9
1 4 8 8 0.00106578 0.00245657 7.13447
1 4 16 16 0.000133072 0.000650898 26.2649
1 4 25 25 3.73392e-05 0.000389076 93.755
1 4 32 32 1.88478e-05 0.000335056 173.445
1 4 50 50 5.81811e-06 0.000851543 771.054
1 4 64 64 3.20236e-06 0.00279103 1852.92
1 4 100 100 1.63903e-06 0.0229852 8623.35
1 8 8 8 0.00140626 0.00162063 6.2075
1 8 16 16 0.000139922 0.000331227 22.1127
1 8 25 25 4.17329e-05 0.000139162 83.1282
1 8 32 32 2.26662e-05 0.000344544 158.644
1 8 50 50 8.18069e-06 0.000781437 677.716
1 8 64 64 4.82515e-06 0.00289754 1585.58
1 8 100 100 2.11697e-06 0.018258 7158.68
1 16 8 8 0.00199002 0.00121611 6.33962
1 16 16 16 0.000160616 0.000180514 21.8841
1 16 25 25 5.28294e-05 7.11618e-05 79.3412
1 16 32 32 3.1383e-05 0.000130478 151.596
1 16 50 50 1.28483e-05 0.000412039 606.468
1 16 64 64 7.88012e-06 0.000709436 1396.19
1 16 100 100 3.3029e-06 0.0025434 6193.88
1 32 8 8 0.0024605 0.000918129 6.5688
1 32 16 16 0.000212146 0.000128995 24.7339
1 32 25 25 7.58233e-05 3.9528e-05 76.5427
1 32 32 32 4.72923e-05 2.76379e-05 143.859
1 32 50 50 2.03105e-05 0.000206023 573.258
1 32 64 64 1.26061e-05 0.00043099 1288.84
1 32 100 100 5.25654e-06 0.00264263 5506.66
1 64 8 8 0.00268607 0.000976335 7.54755
1 64 16 16 0.000333415 0.00012501 25.7833
1 64 25 25 0.000121557 2.69089e-05 73.3011
1 64 32 32 7.40976e-05 1.97513e-05 138.763
1 64 50 50 3.08913e-05 0.000619059 546.173
1 64 64 64 1.89941e-05 0.000312087 1218.12
1 64 100 100 7.856e-06 0.00720388 5218.73
1 128 8 8 0.00330847 0.00140587 9.21494
1 128 16 16 0.000587329 0.000127812 28.4479
1 128 25 25 0.000211557 2.44072e-05 72.185
1 128 32 32 0.000118983 1.6576e-05 133.382
1 128 50 50 4.42766e-05 0.000221405 513.077
1 128 64 64 2.62699e-05 0.000832333 1160.35
1 128 100 100 1.04924e-05 0.00560333 5075.47
