tFinal Re nx nt uErr pErr runtime
1 10 24 24 4.9018e-05 0.000123237 67.147
1 10 36 36 1.90714e-05 0.000273046 222.542
1 10 48 48 1.02546e-05 0.000945505 564.889
1 10 60 60 6.4452e-06 0.0024993 1204.29
1 10 72 72 4.46075e-06 0.00522232 2222.39
1 100 24 24 0.000188406 3.81601e-05 60.1001
1 100 36 36 7.77581e-05 0.000110408 191.858
1 100 48 48 4.25702e-05 0.000572826 457.947
1 100 60 60 2.69211e-05 0.00114449 951.926
1 100 72 72 1.85823e-05 0.00112555 1705.61
4 10 24 96 2.85936e-05 1.54293e-05 268.765
4 10 36 144 1.49263e-05 0.00107511 911.744
4 10 48 192 8.97006e-06 0.00378692 2336.94
4 10 60 240 5.93792e-06 0.00999822 4891.67
4 10 72 288 4.22836e-06 0.0209308 9092.73
4 100 24 96 0.000185839 2.11895e-05 233.162
4 100 36 144 7.7183e-05 0.000452281 770.927
4 100 48 192 4.23855e-05 0.00231395 1858.32
4 100 60 240 2.68481e-05 0.00461434 3844.65
4 100 72 288 1.85494e-05 0.00452103 6968.13
