This log will contain the results of the forward simulation of problems for the Transient Channel
test case. This problem is set up on Omega = [0,1]x[0,1], time = [0,1]

For Reynold's Number = 1

9/16/2017
nx=8 nt=8 uErr=0.000909219 pErr=0.00809848 runtime=5.09614
nx=16 nt=16 uErr=0.000128133 pErr=0.00258025 runtime=23.1449
nx=25 nt=25 uErr=3.51259e-05 pErr=0.00114564 runtime=96.5568
nx=32 nt=32 uErr=1.70554e-05 pErr=0.00162624 runtime=216.237
nx=50 nt=50 uErr=4.80959e-06 pErr=0.00795132 runtime=1017.44
nx=64 nt=64 uErr=2.72723e-06 pErr=0.0145451 runtime=2576.88
nx=100 nt=100 uErr=1.92147e-06 pErr=0.0407255 runtime=12320.6
nx=128 nt=128 uErr=2.33538e-06 pErr=0.0847668 runtime=29096.1

